AnimalName,Symptoms1,Symptoms2,Symptoms3,Symptoms4,Symptoms5,AnimalGroup,Diel Activity,Mean Body Temperature (°C),Dangerous
Birds,Liquid Dropping,Exhaustion,Ataxia,Lethargy,Seizures,Aves,Diurnal,41.5 °C,Yes
Birds,Bony Lesion,Skin Rashes,Ataxia,Anorexia,Weakness,Aves,Diurnal,41.5 °C,Yes
Birds,Legness,Paresis,Coughing,Weight loss,Shortness of breath,Aves,Diurnal,41.5 °C,Yes
Birds,Fluffed Feather,Loss of appetite,Coughing,Vomiting,Snoring,Aves,Diurnal,41.5 °C,Yes
Birds,Skin infection,Secondary Infection,Coughing,Depression,Shaking oh head,Aves,Diurnal,41.5 °C,Yes
Birds,Discharge From eyes,Lethargy,Coughing,Sneezing,Fatique,Aves,Diurnal,41.5 °C,Yes
Birds,Feather Loss,Feather Plucking,Coughing,Itching,Nasal Discharge,Aves,Diurnal,41.5 °C,Yes
Birds,Pale comb,Lame,Death,Swolling of joint,Eye closed,Aves,Diurnal,41.5 °C,Yes
Birds,Lethargy,Loss of appetite,Difficulty in Swallowing,Weakness,Vision Problem,Aves,Diurnal,41.5 °C,Yes
Birds,Apathy,Depression,Dilation of duodenum,Cloacal pasting,Congestion,Aves,Diurnal,41.5 °C,Yes
Birds,Fever,Loss of appetite,Ear infection,Depression,Nasal Discharge,Aves,Diurnal,41.5 °C,Yes
Birds,Sharp Feather,Clubbed Feather,Eye disharge,Loss of powder down,Diarrhea,Aves,Diurnal,41.5 °C,Yes
Birds,Puffed up Feather,Less Eat,Headache,Half-closed eye,Seizures,Aves,Diurnal,41.5 °C,Yes
Birds,Tremor of head and neck,Blindness,Kicking at the belly,Exercise in tolerance,Pains,Aves,Diurnal,41.5 °C,Yes
Birds,Enlarged Thymus,Obstructed Lungs,Lethargy,Skin rashes,Weight loss,Aves,Diurnal,41.5 °C,Yes
Birds,Tail Wagging,Straining,Lethargy,Weakness,Diarrhea,Aves,Diurnal,41.5 °C,Yes
Birds,Undigested in their feces,Loss of Appetite,Loss of pigment,Weakness,Bloody in feather,Aves,Diurnal,41.5 °C,Yes
Birds,Fever,Sour Throat,Mortality,Muscle aches,Abnormalities,Aves,Diurnal,41.5 °C,Yes
Birds,Balance problem,Abdominal destention,Neck Paralysis,Weight loss,Pains,Aves,Diurnal,41.5 °C,Yes
Birds,Fever,Chills,Retarded Growth,Chest Pain,Chest Pain,Aves,Diurnal,41.5 °C,Yes
Birds,Lack of walking,Lack of flying,Roughened,Dehydration,Pains,Aves,Diurnal,41.5 °C,Yes
Birds,Stripped remiges,Less Feather growth,Ruffled feathers,Defienciency in vitamin,Diarrhea,Aves,Diurnal,41.5 °C,Yes
Birds,Overweight,Loss of Appetite,Ruffled feathers,Depression,Diarrhea,Aves,Diurnal,41.5 °C,Yes
Birds,Sinuses,Swollen Eyelids,Skin rashes,Sneezing,Misshapen Beak,Aves,Diurnal,41.5 °C,Yes
Birds,Dejection,Loss of Appetite,Stress,Coughing,Pains,Aves,Diurnal,41.5 °C,Yes
Birds,Skin rashes,Small and yellow bumps,Swelling,Dry Scabs,Lameness,Aves,Diurnal,41.5 °C,Yes
Birds,Fever,Diarrhea,Swollen Abdomen,Vomiting,Difficulty in Breathing,Aves,Diurnal,41.5 °C,Yes
Birds,Heavy Breathing,Yellow in beak,Tail Bobbing,Weakness,Sleeping Excessively,Aves,Diurnal,41.5 °C,Yes
Birds,Scabs On feet,Redness,Trachea,Thickening of skin,Pains,Aves,Diurnal,41.5 °C,Yes
Birds,Inappentence,Diarrhea,Tremors of the head,Dehydration,Weight loss,Aves,Diurnal,41.5 °C,Yes
Birds,Lepatomegaly,Splenomegaly,Vomiting,Swollen,Shaking oh head,Aves,Diurnal,41.5 °C,Yes
Birds,Emaciation,Difficulty in breathing,Vomiting,Weakness,Diarrhea,Aves,Diurnal,41.5 °C,Yes
Birds,Ruffled Appearance,Loss of Appetite,Vomiting,Green Dropping,Nasal Discharge,Aves,Diurnal,41.5 °C,Yes
Birds,Difficulty in feeding,Preening,Weakness,Beak overgrowth,Anemia,Aves,Diurnal,41.5 °C,Yes
Birds,Forthy eye,Torticollis,Weakness,Swelling,Emaciation,Aves,Diurnal,41.5 °C,Yes
Birds,Watery Eyes,Eye closed,Weight loss,Sneezing,Nervous Issue,Aves,Diurnal,41.5 °C,Yes
Birds,Fever,Difficultty in Breathing,Yellow Eye,Sneezing,Diphtherictic,Aves,Diurnal,41.5 °C,Yes
Black-tailed deer,wasting,stumbling,listlessness,drooling,urination problem,Mammals,Diurnal,37.3 °C,Yes
cat,Shaking head,Scartching ear,Black on ear,Bad smell,Red and inflammation ear,Mammals,Diurnal,37.3 °C,Yes
cat,Gasc,Loss of  appetite,Blood in stool,Stomach growling,Black stool,Mammals,Diurnal,37.3 °C,Yes
cat,Convulsion,Loss of consciousness,chewing,Twitching,Salivating,Mammals,Diurnal,37.3 °C,Yes
cat,Fever,Eye ulcer,Congestion,Depression,Pink eye,Mammals,Diurnal,37.3 °C,Yes
cat,Attacks,Loss of  appetite,Coughing,Weight loss,Periodic vommiting,Mammals,Diurnal,37.3 °C,Yes
cat,Blood stool,Diarrhea,Coughing,Weight loss,Anemia,Mammals,Diurnal,37.3 °C,Yes
cat,Wheezing,Rapid Breathing,Coughing,Swallowing,Effort to breath,Mammals,Diurnal,37.3 °C,Yes
cat,Fever,Mild sneezing,Coughing,Nasal,Ocular discharge,Mammals,Diurnal,37.3 °C,Yes
cat,Pnemonia,Loss of  appetite,Eye disharge,Lameness,Arthritis,Mammals,Diurnal,37.3 °C,Yes
cat,Fever,Loss of appetite,Eyeproblem,Liver disease,Nuerological,Mammals,Diurnal,37.3 °C,Yes
